Account,Date,Amount,Description,Location,Category,
A123,01/01/2023, 50.00, Grocery Shopping, New York, Groceries,
B456,02/01/2023, 30.00, Gasoline Refill, Los Angeles, Fuel,
C789,03/01/2023, 100.00, Restaurant Dinner, Chicago, Dining Out,
A123,04/01/2023, 500.00, Paycheck Deposit, San Francisco, Income,
B456,05/01/2023, 60.00, Phone Bill Payment, San Francisco, Utilities,
C789,06/01/2023, 25.00, Coffee Shop - Coffee, Seattle, Dining Out,
A123,07/01/2023, 800.00, Rent Payment, New York, Rent,
B456,08/01/2023, 150.00, Online Shopping, Online, Shopping,
C789,09/01/2023, 45.00, Pharmacy Purchase, Boston, Healthcare,
A123,10/01/2023, 200.00, Mortgage Payment, Boston, Loan Payment,
B456,11/01/2023, 10.00, ATM Withdrawal, Los Angeles, Cash Withdrawal,
C789,12/01/2023, 70.00, Grocery Shopping, San Francisco, Groceries,
A123,13/01/2023, 20.00, Movie Tickets, Los Angeles, Entertainment,
B456,14/01/2023, 30.00, Gas Refill, Chicago, Fuel,
C789,15/01/2023, 15.00, Snack Purchase, San Francisco, Dining Out,
A123,16/01/2023, 60.00, Mobile Phone Bill Payment, New York, Utilities,
B456,17/01/2023, 45.00, Doctor's Visit, Los Angeles, Healthcare,
C789,18/01/2023, 120.00, Car Repair, Chicago, Automotive,
A123,19/01/2023, 25.00, Lunch at Cafe, San Francisco, Dining Out,
B456,20/01/2023, 40.00, Clothing Shopping, Los Angeles, Shopping,
C789,21/01/2023, 75.00, Gasoline Refill, New York, Fuel,
A123,22/01/2023, 150.00, Internet Bill Payment, San Francisco, Utilities,
B456,23/01/2023, 10.00, Snack Purchase, Chicago, Dining Out,
C789,24/01/2023, 30.00, Online Shopping, Online, Shopping,
A123,25/01/2023, 80.00, Gym Membership Renewal, Los Angeles, Subscriptions,
B456,26/01/2023, 20.00, Movie Tickets, New York, Entertainment,
C789,27/01/2023, 35.00, Pharmacy Purchase, San Francisco, Healthcare,
A123,28/01/2023, 45.00, Car Wash, Chicago, Automotive,
B456,29/01/2023, 60.00, Paycheck Deposit, Los Angeles, Income,
C789,30/01/2023, 40.00, Dinner at Italian Restaurant, New York, Dining Out,
A123,31/01/2023, 25.00, Coffee Shop - Morning Coffee, San Francisco, Dining Out,
B456,01/02/2023, 70.00, Grocery Shopping, Los Angeles, Groceries,
C789,02/02/2023, 15.00, ATM Withdrawal - $15, Chicago, Cash Withdrawal,
A123,03/02/2023, 120.00, Rent Payment, New York, Rent,
B456,04/02/2023, 90.00, Online Shopping, Online, Shopping,
C789,05/02/2023, 55.00, Gasoline Refill, San Francisco, Fuel,
A123,06/02/2023, 200.00, Mortgage Payment, Los Angeles, Loan Payment,
B456,07/02/2023, 25.00, Lunch at Local Cafe, New York, Dining Out,
C789,08/02/2023, 30.00, Online Gaming Subscription, Chicago, Subscriptions,
A123,09/02/2023, 35.00, Doctor's Visit, San Francisco, Healthcare,
B456,10/02/2023, 40.00, Utility Bill Payment, Los Angeles, Utilities,
C789,11/02/2023, 60.00, Mobile Phone Bill Payment, New York, Utilities,
A123,12/02/2023, 80.00, Gym Membership Renewal, San Francisco, Subscriptions,
B456,13/02/2023, 70.00, Grocery Shopping, Chicago, Groceries,
C789,14/02/2023, 25.00, Movie Theater Tickets, Los Angeles, Entertainment,
A123,15/02/2023, 45.00, Car Repair - Auto Shop, New York, Automotive,
B456,16/02/2023, 50.00, Credit Card Payment, San Francisco, Credit Card Payment,
C789,17/02/2023, 20.00, Coffee Shop - Morning Coffee, Chicago, Dining Out,
A123,18/02/2023, 30.00, Online Shopping - Electronics, Los Angeles, Online Shopping,
B456,19/02/2023, 150.00, Internet Bill Payment, New York, Utilities,
C789,20/02/2023, 15.00, Snack Purchase, San Francisco, Dining Out,
A123,21/02/2023, 10.00, ATM Withdrawal - $10, Chicago, Cash Withdrawal,
B456,22/02/2023, 25.00, Clothing Shopping, Los Angeles, Shopping,
C789,23/02/2023, 45.00, Pharmacy Purchase, New York, Healthcare,
A123,24/02/2023, 35.00, Car Wash, San Francisco, Automotive,
B456,25/02/2023, 60.00, Paycheck Deposit, Chicago, Income,
C789,26/02/2023, 40.00, Online Shopping, Online, Shopping,
A123,27/02/2023, 25.00, Lunch at Cafe, Los Angeles, Dining Out,
B456,28/02/2023, 30.00, Movie Tickets, New York, Entertainment,
A123,01/02/2023, 20.00, Gasoline Refill, Chicago, Fuel,
B456,02/02/2023, 15.00, Phone Bill Payment, Los Angeles, Utilities,
C789,03/02/2023, 100.00, Restaurant Dinner, San Francisco, Dining Out,
A123,04/02/2023, 30.00, Online Shopping, Online, Shopping,
B456,05/02/2023, 35.00, Coffee Shop - Morning Coffee, New York, Dining Out,
C789,06/02/2023, 60.00, Grocery Shopping, San Francisco, Groceries,
A123,07/02/2023, 80.00, Paycheck Deposit, Chicago, Income,
B456,08/02/2023, 45.00, Gym Membership Renewal, Los Angeles, Subscriptions,
C789,09/02/2023, 25.00, Snack Purchase, Boston, Dining Out,
A123,10/02/2023, 120.00, Rent Payment, Chicago, Rent,
B456,11/02/2023, 30.00, Online Gaming Subscription, Los Angeles, Subscriptions,
C789,12/02/2023, 45.00, Doctor's Visit, New York, Healthcare,
A123,13/02/2023, 70.00, Grocery Shopping, San Francisco, Groceries,
B456,14/02/2023, 15.00, ATM Withdrawal - $15, Chicago, Cash Withdrawal,
C789,15/02/2023, 150.00, Mortgage Payment, Los Angeles, Loan Payment,
A123,16/02/2023, 40.00, Utility Bill Payment, New York, Utilities,
B456,17/02/2023, 35.00, Car Repair - Auto Shop, San Francisco, Automotive,
C789,18/02/2023, 30.00, Coffee Shop - Morning Coffee, Boston, Dining Out,
A123,19/02/2023, 20.00, Online Shopping - Electronics, Chicago, Online Shopping,
B456,20/02/2023, 10.00, Snack Purchase, Los Angeles, Dining Out,
C789,21/02/2023, 60.00, Paycheck Deposit, New York, Income,
A123,22/02/2023, 50.00, Credit Card Payment, San Francisco, Credit Card Payment,
B456,23/02/2023, 25.00, Movie Theater Tickets, Chicago, Entertainment,
C789,24/02/2023, 20.00, Car Wash, Los Angeles, Automotive,
A123,25/02/2023, 40.00, Online Shopping, Online, Shopping,
B456,26/02/2023, 70.00, Grocery Shopping, New York, Groceries,
C789,27/02/2023, 60.00, Gym Membership Renewal, San Francisco, Subscriptions,
A123,28/02/2023, 15.00, Dining Out - Sushi, Boston, Dining Out,
B456,01/03/2023, 120.00, Rent Payment, Chicago, Rent,
C789,02/03/2023, 30.00, Online Gaming Subscription, Los Angeles, Subscriptions,
A123,03/03/2023, 45.00, Doctor's Visit, San Francisco, Healthcare,
B456,04/03/2023, 70.00, Grocery Shopping, New York, Groceries,
C789,05/03/2023, 15.00, ATM Withdrawal - $15, Chicago, Cash Withdrawal,
A123,06/03/2023, 150.00, Mortgage Payment, Los Angeles, Loan Payment,
B456,07/03/2023, 40.00, Utility Bill Payment, New York, Utilities,
C789,08/03/2023, 35.00, Car Repair - Auto Shop, San Francisco, Automotive,
A123,09/03/2023, 30.00, Coffee Shop - Morning Coffee, Boston, Dining Out,
B456,10/03/2023, 20.00, Online Shopping - Electronics, Chicago, Online Shopping,
C789,11/03/2023, 10.00, Snack Purchase, Los Angeles, Dining Out,
A123,12/03/2023, 60.00, Paycheck Deposit, New York, Income,
B456,13/03/2023, 50.00, Credit Card Payment, San Francisco, Credit Card Payment,
C789,14/03/2023, 25.00, Movie Theater Tickets, Chicago, Entertainment,
A123,15/03/2023, 20.00, Car Wash, Los Angeles, Automotive,
